natural_language,sql,mongodb,operation
Find orders where order_date contains rich,SELECT * FROM orders WHERE order_date LIKE '%rich%';,"db.orders.find({order_date: {$regex: 'rich', $options: 'i'}})",READ
Change product_id to 6487 for all products,UPDATE products SET product_id = '6487';,"db.products.updateMany({}, {$set: {product_id: '6487'}})",UPDATE
Delete products with price less than 4993,DELETE FROM products WHERE price < 4993;,db.products.deleteMany({price: {$lt: 4993}}),DELETE
Show projects with budget greater than 78895,SELECT * FROM projects WHERE budget > 78895;,db.projects.find({budget: {$gt: 78895}}),READ
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
"Insert a new department with department_id as 3382, department_name as Grace Li, manager_id as 2576","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (3382, 'Grace Li', 2576, 78446.46, 'Lake Brettshire');","db.departments.insertOne({
  ""department_id"": 3382,
  ""department_name"": ""Grace Li"",
  ""manager_id"": 2576,
  ""budget"": 78446.46,
  ""location"": ""Lake Brettshire""
})",CREATE
"Insert a new department with department_id as 6353, department_name as Kyle Reynolds, manager_id as 6282","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (6353, 'Kyle Reynolds', 6282, 4642.45, 'Davishaven');","db.departments.insertOne({
  ""department_id"": 6353,
  ""department_name"": ""Kyle Reynolds"",
  ""manager_id"": 6282,
  ""budget"": 4642.45,
  ""location"": ""Davishaven""
})",CREATE
"Insert a new department with department_id as 7048, department_name as Jacqueline Williams, manager_id as 577","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (7048, 'Jacqueline Williams', 577, 21263.81, 'East Joshualand');","db.departments.insertOne({
  ""department_id"": 7048,
  ""department_name"": ""Jacqueline Williams"",
  ""manager_id"": 577,
  ""budget"": 21263.81,
  ""location"": ""East Joshualand""
})",CREATE
Remove projects where project_id is 7820,DELETE FROM projects WHERE project_id = '7820';,db.projects.deleteMany({project_id: '7820'}),DELETE
Increase employee_id by 2812 in employees where salary equals 84615.8,UPDATE employees SET employee_id = employee_id + 2812 WHERE salary = '84615.8';,"db.employees.updateMany({salary: '84615.8'}, {$inc: {employee_id: 2812}})",UPDATE
"Insert a new product with product_id as 4302, product_name as Jeffrey Harper, category as Software","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (4302, 'Jeffrey Harper', 'Software', 1174.05, 6309, 'Ray PLC');","db.products.insertOne({
  ""product_id"": 4302,
  ""product_name"": ""Jeffrey Harper"",
  ""category"": ""Software"",
  ""price"": 1174.05,
  ""stock_quantity"": 6309,
  ""supplier"": ""Ray PLC""
})",CREATE
Remove employees where salary is 20045.12,DELETE FROM employees WHERE salary = '20045.12';,db.employees.deleteMany({salary: '20045.12'}),DELETE
"Insert a new order with order_id as 3098, customer_name as Kimberly Kennedy DDS, product_name as Sharon Smith","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (3098, 'Kimberly Kennedy DDS', 'Sharon Smith', 2467, '2021-04-04', 81920.66);","db.orders.insertOne({
  ""order_id"": 3098,
  ""customer_name"": ""Kimberly Kennedy DDS"",
  ""product_name"": ""Sharon Smith"",
  ""quantity"": 2467,
  ""order_date"": ""2021-04-04"",
  ""total_amount"": 81920.66
})",CREATE
Remove employees where department is Engineering,DELETE FROM employees WHERE department = 'Engineering';,db.employees.deleteMany({department: 'Engineering'}),DELETE
Delete products with stock_quantity less than 45684,DELETE FROM products WHERE stock_quantity < 45684;,db.products.deleteMany({stock_quantity: {$lt: 45684}}),DELETE
Find employees where salary is 68234.1,SELECT * FROM employees WHERE salary = '68234.1';,db.employees.find({salary: '68234.1'}),READ
"Insert a new department with department_id as 3084, department_name as Michelle Kelley, manager_id as 4772","INSERT INTO departments (department_id, department_name, manager_id, budget, location) VALUES (3084, 'Michelle Kelley', 4772, 93508.58, 'Lake Davidmouth');","db.departments.insertOne({
  ""department_id"": 3084,
  ""department_name"": ""Michelle Kelley"",
  ""manager_id"": 4772,
  ""budget"": 93508.58,
  ""location"": ""Lake Davidmouth""
})",CREATE
"Insert a new project with project_id as 5572, project_name as Crystal Fuller, start_date as 2022-01-23","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (5572, 'Crystal Fuller', '2022-01-23', '2023-07-12', 34361.9, 'Pending');","db.projects.insertOne({
  ""project_id"": 5572,
  ""project_name"": ""Crystal Fuller"",
  ""start_date"": ""2022-01-23"",
  ""end_date"": ""2023-07-12"",
  ""budget"": 34361.9,
  ""status"": ""Pending""
})",CREATE
"Insert a new order with order_id as 2443, customer_name as Jeff Vaughn, product_name as Andrea Mills","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (2443, 'Jeff Vaughn', 'Andrea Mills', 1311, '2022-08-26', 56471.86);","db.orders.insertOne({
  ""order_id"": 2443,
  ""customer_name"": ""Jeff Vaughn"",
  ""product_name"": ""Andrea Mills"",
  ""quantity"": 1311,
  ""order_date"": ""2022-08-26"",
  ""total_amount"": 56471.86
})",CREATE
Delete employees with age less than 14891,DELETE FROM employees WHERE age < 14891;,db.employees.deleteMany({age: {$lt: 14891}}),DELETE
Increase total_amount by 3652 in orders where order_id equals 7332,UPDATE orders SET total_amount = total_amount + 3652 WHERE order_id = '7332';,"db.orders.updateMany({order_id: '7332'}, {$inc: {total_amount: 3652}})",UPDATE
Increase quantity by 1461 in orders where product_name equals Scott Jackson,UPDATE orders SET quantity = quantity + 1461 WHERE product_name = 'Scott Jackson';,"db.orders.updateMany({product_name: 'Scott Jackson'}, {$inc: {quantity: 1461}})",UPDATE
Find products where stock_quantity contains agency,SELECT * FROM products WHERE stock_quantity LIKE '%agency%';,"db.products.find({stock_quantity: {$regex: 'agency', $options: 'i'}})",READ
Remove projects where budget is 33763.25,DELETE FROM projects WHERE budget = '33763.25';,db.projects.deleteMany({budget: '33763.25'}),DELETE
"Insert a new project with project_id as 9597, project_name as Christopher Murphy, start_date as 2024-07-09","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (9597, 'Christopher Murphy', '2024-07-09', '2022-09-18', 77252.97, 'Pending');","db.projects.insertOne({
  ""project_id"": 9597,
  ""project_name"": ""Christopher Murphy"",
  ""start_date"": ""2024-07-09"",
  ""end_date"": ""2022-09-18"",
  ""budget"": 77252.97,
  ""status"": ""Pending""
})",CREATE
"Insert a new project with project_id as 1056, project_name as Anthony Fox, start_date as 2022-05-21","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (1056, 'Anthony Fox', '2022-05-21', '2021-09-06', 21369.22, 'Completed');","db.projects.insertOne({
  ""project_id"": 1056,
  ""project_name"": ""Anthony Fox"",
  ""start_date"": ""2022-05-21"",
  ""end_date"": ""2021-09-06"",
  ""budget"": 21369.22,
  ""status"": ""Completed""
})",CREATE
Get all manager_id from departments,SELECT manager_id FROM departments;,"db.departments.find({}, {manager_id: 1})",READ
Update orders set quantity to 6462 where order_date is 2021-11-24,UPDATE orders SET quantity = '6462' WHERE order_date = '2021-11-24';,"db.orders.updateMany({order_date: '2021-11-24'}, {$set: {quantity: '6462'}})",UPDATE
"Insert a new project with project_id as 4205, project_name as Samantha Barnes, start_date as 2026-02-19","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (4205, 'Samantha Barnes', '2026-02-19', '2023-10-25', 34272.96, 'Cancelled');","db.projects.insertOne({
  ""project_id"": 4205,
  ""project_name"": ""Samantha Barnes"",
  ""start_date"": ""2026-02-19"",
  ""end_date"": ""2023-10-25"",
  ""budget"": 34272.96,
  ""status"": ""Cancelled""
})",CREATE
"Insert a new project with project_id as 4429, project_name as Mikayla Aguilar, start_date as 2024-02-04","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (4429, 'Mikayla Aguilar', '2024-02-04', '2023-03-01', 56055.63, 'Completed');","db.projects.insertOne({
  ""project_id"": 4429,
  ""project_name"": ""Mikayla Aguilar"",
  ""start_date"": ""2024-02-04"",
  ""end_date"": ""2023-03-01"",
  ""budget"": 56055.63,
  ""status"": ""Completed""
})",CREATE
Update projects set status to Active where project_id is 2898,UPDATE projects SET status = 'Active' WHERE project_id = '2898';,"db.projects.updateMany({project_id: '2898'}, {$set: {status: 'Active'}})",UPDATE
Delete all departments,DELETE FROM departments;,db.departments.deleteMany({}),DELETE
Increase order_id by 4929 in orders where product_name equals William Reed,UPDATE orders SET order_id = order_id + 4929 WHERE product_name = 'William Reed';,"db.orders.updateMany({product_name: 'William Reed'}, {$inc: {order_id: 4929}})",UPDATE
Remove departments where department_id is 307,DELETE FROM departments WHERE department_id = '307';,db.departments.deleteMany({department_id: '307'}),DELETE
"Insert a new product with product_id as 9856, product_name as Meghan Dunlap DDS, category as Office Supplies","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (9856, 'Meghan Dunlap DDS', 'Office Supplies', 71368.64, 4006, 'Fields and Sons');","db.products.insertOne({
  ""product_id"": 9856,
  ""product_name"": ""Meghan Dunlap DDS"",
  ""category"": ""Office Supplies"",
  ""price"": 71368.64,
  ""stock_quantity"": 4006,
  ""supplier"": ""Fields and Sons""
})",CREATE
"Insert a new order with order_id as 2013, customer_name as Adam Moore Jr., product_name as Jeremy Armstrong","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (2013, 'Adam Moore Jr.', 'Jeremy Armstrong', 3945, '2021-10-18', 22934.05);","db.orders.insertOne({
  ""order_id"": 2013,
  ""customer_name"": ""Adam Moore Jr."",
  ""product_name"": ""Jeremy Armstrong"",
  ""quantity"": 3945,
  ""order_date"": ""2021-10-18"",
  ""total_amount"": 22934.05
})",CREATE
Update orders set order_date to 2022-01-26 where product_name is Deborah Andersen,UPDATE orders SET order_date = '2022-01-26' WHERE product_name = 'Deborah Andersen';,"db.orders.updateMany({product_name: 'Deborah Andersen'}, {$set: {order_date: '2022-01-26'}})",UPDATE
Count all orders,SELECT COUNT(*) FROM orders;,db.orders.countDocuments({}),READ
"Insert a new employee with employee_id as 8648, name as Daniel Smith, email as wellskristen@example.com","INSERT INTO employees (employee_id, name, email, department, salary, hire_date, age) VALUES (8648, 'Daniel Smith', 'wellskristen@example.com', 'Finance', 61374.95, '2022-12-07', 1898);","db.employees.insertOne({
  ""employee_id"": 8648,
  ""name"": ""Daniel Smith"",
  ""email"": ""wellskristen@example.com"",
  ""department"": ""Finance"",
  ""salary"": 61374.95,
  ""hire_date"": ""2022-12-07"",
  ""age"": 1898
})",CREATE
Update departments set manager_id to 3875 where department_id is 4880,UPDATE departments SET manager_id = '3875' WHERE department_id = '4880';,"db.departments.updateMany({department_id: '4880'}, {$set: {manager_id: '3875'}})",UPDATE
Delete employees with employee_id less than 49574,DELETE FROM employees WHERE employee_id < 49574;,db.employees.deleteMany({employee_id: {$lt: 49574}}),DELETE
Delete employees with employee_id less than 44656,DELETE FROM employees WHERE employee_id < 44656;,db.employees.deleteMany({employee_id: {$lt: 44656}}),DELETE
Change customer_name to Tina Garza for all orders,UPDATE orders SET customer_name = 'Tina Garza';,"db.orders.updateMany({}, {$set: {customer_name: 'Tina Garza'}})",UPDATE
Delete orders with quantity less than 20085,DELETE FROM orders WHERE quantity < 20085;,db.orders.deleteMany({quantity: {$lt: 20085}}),DELETE
Delete all orders,DELETE FROM orders;,db.orders.deleteMany({}),DELETE
Count all departments,SELECT COUNT(*) FROM departments;,db.departments.countDocuments({}),READ
"Insert a new order with order_id as 4108, customer_name as Casey Torres, product_name as Erica Watson","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (4108, 'Casey Torres', 'Erica Watson', 6780, '2023-04-07', 88265.67);","db.orders.insertOne({
  ""order_id"": 4108,
  ""customer_name"": ""Casey Torres"",
  ""product_name"": ""Erica Watson"",
  ""quantity"": 6780,
  ""order_date"": ""2023-04-07"",
  ""total_amount"": 88265.67
})",CREATE
Update products set stock_quantity to 8109 where product_name is Mrs. Mary Holland,UPDATE products SET stock_quantity = '8109' WHERE product_name = 'Mrs. Mary Holland';,"db.products.updateMany({product_name: 'Mrs. Mary Holland'}, {$set: {stock_quantity: '8109'}})",UPDATE
Show average order_id from orders,SELECT AVG(order_id) FROM orders;,"db.orders.aggregate([{$group: {_id: null, avg: {$avg: '$order_id'}}}])",READ
Increase product_id by 3679 in products where supplier equals Snyder-Greene,UPDATE products SET product_id = product_id + 3679 WHERE supplier = 'Snyder-Greene';,"db.products.updateMany({supplier: 'Snyder-Greene'}, {$inc: {product_id: 3679}})",UPDATE
"Insert a new product with product_id as 9924, product_name as James Clark, category as Software","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (9924, 'James Clark', 'Software', 96556.75, 5593, 'Watkins-Wallace');","db.products.insertOne({
  ""product_id"": 9924,
  ""product_name"": ""James Clark"",
  ""category"": ""Software"",
  ""price"": 96556.75,
  ""stock_quantity"": 5593,
  ""supplier"": ""Watkins-Wallace""
})",CREATE
"Insert a new order with order_id as 3128, customer_name as Debra Tyler, product_name as Jonathan Craig","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (3128, 'Debra Tyler', 'Jonathan Craig', 7778, '2023-05-17', 83251.49);","db.orders.insertOne({
  ""order_id"": 3128,
  ""customer_name"": ""Debra Tyler"",
  ""product_name"": ""Jonathan Craig"",
  ""quantity"": 7778,
  ""order_date"": ""2023-05-17"",
  ""total_amount"": 83251.49
})",CREATE
Change budget to 48966.17 for all departments,UPDATE departments SET budget = '48966.17';,"db.departments.updateMany({}, {$set: {budget: '48966.17'}})",UPDATE
Increase budget by 1387 in projects where project_name equals Chris Cook,UPDATE projects SET budget = budget + 1387 WHERE project_name = 'Chris Cook';,"db.projects.updateMany({project_name: 'Chris Cook'}, {$inc: {budget: 1387}})",UPDATE
